BRAZILIAN RESEARCH AGENCY CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,BRAZILIAN AGENCY CNPQ
BUNDESMINISTERIUM FUR BILDUNG UND FORSCHUNG BMBF,BMBF
CANADA FOUNDATION FOR INNOVATION,CANADA FOUNDATION FOR INNOVATION
CANADA FOUNDATION FOR INNOVATION CFI,CANADA FOUNDATION FOR INNOVATION
CANADA RESEARCH CHAIR,CRC
CANADA RESEARCH CHAIRS CRC PROGRAM,CRC
CANADA RESEARCH CHAIRS,CRC
CARL TRYGGERS FOUNDATION,CARL TRYGGERS FOUNDATION
CARL TRYGGERS STIFTELSE FOR VETENSKAPLIG FORSKNING CTS,CARL TRYGGERS FOUNDATION
CTS,CARL TRYGGERS FOUNDATION
CONACYT CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA,CONACYT CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA
CENTER FOR THE COMPUTATIONAL DESIGN OF FUNCTIONAL LAYERED MATERIALS AN ENERGY FRONTIER RESEARCH CENTER US DEPARTMENT OF ENERGY OFFICE OF SCIENCE BASIC ENERGY SCIENCES,US DEPARTMENT OF ENERGY 
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS FRANCE,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE
CFI,CANADA FOUNDATION FOR INNOVATION
CHANGJIANG SCHOLAR AND INNOVATIVE RESEARCH TEAM IN UNIVERSITY,PROGRAM FOR CHANGJIANG SCHOLARS AND INNOVATIVE RESEARCH TEAM IN UNIVERSITY
CHEMICAL SCIENCES GEOSCIENCES  BIOSCIENCES CSGB DIVISION OF THE US DEPARTMENT OF ENERGY DOE OFFICE OF SCIENCE OFFICE OF BASIC ENERGY SCIENCES,US DEPARTMENT OF ENERGY
CHEMICAL SCIENCES GEOSCIENCES AND BIOSCIENCES DIVISION OFFICE OF BASIC ENERGY SCIENCES DEPARTMENT OF ENERGY,US DEPARTMENT OF ENERGY
CHINA 973 PROGRAM,973 PROJECT OF CHINA
CHINA SCHOLARSHIP COUNCIL,CHINA SCHOLARSHIP COUNCIL
CHINA SCHOLARSHIP COUNCIL CSC,CHINA SCHOLARSHIP COUNCIL
CHINESE ACADEMY OF SCIENCES,CHINESE ACADEMY OF SCIENCES
CHINESE NATIONAL BASIC RESEARCH PROGRAM 973 PROGRAM,973 PROJECT OF CHINA
CINECA,CINECA
CINECA AWARD UNDER THE ISCRA INITIATIVE,CINECA
CLUSTER OF EXCELLENCE RESOLV  DEUTSCHE FORSCHUNGSGEMEINSCHAFT,RESEARCH FOUNDATION DFG
CNPQ,BRAZILIAN AGENCY CNPQ
CNPQ BRAZIL NATIONAL COUNCIL FOR SCIENTIFIC AND TECHNOLOGICAL DEVELOPMENT CNPQ,BRAZILIAN AGENCY CNPQ
CNPQ NATIONAL COUNCIL FOR SCIENTIFIC AND TECHNOLOGICAL DEVELOPMENT CNPQ,BRAZILIAN AGENCY CNPQ
CNRS,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE
COMPUTATIONAL MATERIALS SCIENCES PROGRAM  US DEPARTMENT OF ENERGY OFFICE OF SCIENCE BASIC ENERGY SCIENCES MATERIALS SCIENCES AND ENGINEERING DIVISION,US DEPARTMENT OF ENERGY
CONACYT,CONACYT CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA
CONACYT MEXICO,CONACYT CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA
CONACYT MEXICO CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA CONACYT,CONACYT CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA
CONACYT MEXICO,CONACYT CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA
CONICET,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET
CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA DE MEXICO CONACYT,CONACYT CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET
CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ,BRAZILIAN AGENCY CNPQ
CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO CNPQ  BRAZIL,BRAZILIAN AGENCY CNPQ
NATIONAL COUNCIL FOR SCIENTIFIC AND TECHNOLOGICAL DEVELOPMENT CNPQ,BRAZILIAN AGENCY CNPQ
COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR,BRAZILIAN AGENCY CAPES
COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPES,BRAZILIAN AGENCY CAPES
COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR CAPESCAPES,BRAZILIAN AGENCY CAPES
COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR BRASIL CAPES,BRAZILIAN AGENCY CAPES
COUNCIL OF SCIENTIFIC INDUSTRIAL RESEARCH CSIR NEW DELHI,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH CSIR
COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH CSIR,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH CSIR
COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH CSIR NEW DELHI INDIA,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH CSIR
COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH NEW DELHI,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH CSIR
CREATIVE MATERIALS DISCOVERY PROGRAM THROUGH THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF SCIENCE ICT AND FUTURE,MINISTRY OF SCIENCE ICT AND FUTURE PLANNING OF KOREA
CSIR,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH CSIR
CSIR INDIA,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH CSIR
CSIR NEW DELHI,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH CSIR
CZECH ACADEMY OF SCIENCES,CZECH ACADEMY OF SCIENCES
DAAD,DAAD
DANISH CENTER FOR SCIENTIFIC COMPUTING,DANISH CENTER FOR SCIENTIFIC COMPUTING DCSC
DANISH CENTER FOR SCIENTIFIC COMPUTING DCSC,DANISH CENTER FOR SCIENTIFIC COMPUTING DCSC
DCSC,DANISH CENTER FOR SCIENTIFIC COMPUTING DCSC
DANISH COUNCIL FOR INDEPENDENT RESEARCH,DANISH COUNCIL FOR INDEPENDENT RESEARCH
DANISH COUNCIL FOR INDEPENDENT RESEARCHS SAPERE AUDE PROGRAM,DANISH COUNCIL FOR INDEPENDENT RESEARCH
DEFENSE THREAT REDUCTION AGENCY,US DEFENSE THREAT REDUCTION AGENCY
DEPARTMENT OF ENERGY,US DEPARTMENT OF ENERGY
DEPARTMENT OF ENERGY OFFICE OF BASIC ENERGY SCIENCES,US DEPARTMENT OF ENERGY
DEPARTMENT OF ENERGYS OFFICE OF BIOLOGICAL AND ENVIRONMENTAL RESEARCH,US DEPARTMENT OF ENERGY
DEPARTMENT OF ENERGYS OFFICE OF BIOLOGICAL AND ENVIRONMENTAL RESEARCH LOCATED AT PACIFIC NORTHWEST NATIONAL LABORATORY,US DEPARTMENT OF ENERGY
DEPARTMENT OF SCIENCE AND TECHNOLOGY,DEPARTMENT OF SCIENCE AND TECHNOLOGY INDIA
DEPARTMENT OF SCIENCE AND TECHNOLOGY DST INDIA,DEPARTMENT OF SCIENCE AND TECHNOLOGY INDIA
DEPARTMENT OF SCIENCE AND TECHNOLOGY GOVERNMENT OF INDIA,DEPARTMENT OF SCIENCE AND TECHNOLOGY INDIA
DEPARTMENT OF SCIENCE AND TECHNOLOGY INDIA,DEPARTMENT OF SCIENCE AND TECHNOLOGY INDIA
DEUTSCHE FORSCHUNGSGEMEINSCHA DFG,RESEARCH FOUNDATION DFG
DEUTSCHE FORSCHUNGSGEMEINSCHAFT,RESEARCH FOUNDATION DFG
DEUTSCHE FORSCHUNGSGEMEINSCHAFT DFG,RESEARCH FOUNDATION DFG
DEUTSCHE FORSCHUNGSGEMEINSCHAFT DFG GERMAN RESEARCH FOUNDATION DFG,RESEARCH FOUNDATION DFG
DEUTSCHE FORSCHUNGSGEMEINSCHAFT GERMAN RESEARCH FOUNDATION DFG,RESEARCH FOUNDATION DFG
DEUTSCHER AKADEMISCHER AUSTAUSCHDIENST DAAD,DAAD
DEUTSCHER AKADEMISCHER AUSTAUSCHDIENST DAAD,DAAD
DFG,RESEARCH FOUNDATION DFG
DFG THROUGH THE CENTER FOR FUNCTIONAL NANOSTRUCTURES CFN,RESEARCH FOUNDATION DFG
DFGGERMAN RESEARCH FOUNDATION DFG,RESEARCH FOUNDATION DFG
DIVISION OF CHEMICAL SCIENCES GEOSCIENCES  BIOSCIENCES OFFICE OF BASIC ENERGY SCIENCES,US DEPARTMENT OF ENERGY
DIVISION OF MATERIALS SCIENCES AND ENGINEERING OFFICE OF BASIC ENERGY SCIENCES US DOE,US DEPARTMENT OF ENERGY
DOE,US DEPARTMENT OF ENERGY
DOE BES,US DEPARTMENT OF ENERGY
DOE OFFICE OF BIOLOGICAL AND ENVIRONMENTAL RESEARCH,US DEPARTMENT OF ENERGY
DOE OFFICE OF NUCLEAR ENERGYS NUCLEAR ENERGY UNIVERSITY PROGRAMS,US DEPARTMENT OF ENERGY
DOE OFFICE OF SCIENCE,US DEPARTMENT OF ENERGY
DOE OFFICE OF SCIENCE BES,US DEPARTMENT OF ENERGY
DOE OFFICE OF SCIENCE USER FACILITY,US DEPARTMENT OF ENERGY
DOE OFFICE OF SCIENCE USER FACILITY UNITED STATES DEPARTMENT OF ENERGY DOE,US DEPARTMENT OF ENERGY
DOE OFFICE OF SCIENCEUNITED STATES DEPARTMENT OF ENERGY DOE,US DEPARTMENT OF ENERGY
DOEBES,DOEBES
DOEBES DIVISION OF CHEMICAL SCIENCES GEOSCIENCES AND BIOSCIENCES,DOEBES
DOE NNSA,US DEPARTMENT OF ENERGY
DOE UNITED STATES DEPARTMENT OF ENERGY DOE,US DEPARTMENT OF ENERGY
DRSIISAP OF UNIVERSITY GRANTS COMMISSION NEW DELHI INDIA UNIVERSITY GRANTS COMMISSION INDIA,UNIVERSITY GRANTS COMMISSION INDIA
DST,DEPARTMENT OF SCIENCE AND TECHNOLOGY INDIA
DST GOVERNMENT OF INDIA,DEPARTMENT OF SCIENCE AND TECHNOLOGY INDIA
DST INDIA,DEPARTMENT OF SCIENCE AND TECHNOLOGY INDIA
DST NANOMISSION,DEPARTMENT OF SCIENCE AND TECHNOLOGY INDIA
DST NEW DELHI,DEPARTMENT OF SCIENCE AND TECHNOLOGY INDIA
DSTSERB,DEPARTMENT OF SCIENCE AND TECHNOLOGY INDIA
EC,EUROPEAN COMISSION
EFREE AN ENERGY FRONTIER RESEARCH CENTER US DEPARTMENT OF ENERGY OFFICE OF SCIENCE,US DEPARTMENT OF ENERGY
ENERGY FRONTIER RESEARCH CENTER,US DEPARTMENT OF ENERGY
ELEMENTS STRATEGY INITIATIVE FOR STRUCTURAL MATERIALS ESISM VIA MEXT BY JAPAN,MEXT JAPAN
ENERGY FRONTIER RESEARCH CENTER  US DEPARTMENT OF ENERGY OFFICE OF SCIENCE BASIC ENERGY SCIENCES,US DEPARTMENT OF ENERGY
ENGINEERING PHYSICAL SCIENCES RESEARCH COUNCIL,ENGINEERING PHYSICAL SCIENCES RESEARCH COUNCIL
ENGINEERING AND PHYSICAL SCIENCES RESEARCH COUNCIL,ENGINEERING PHYSICAL SCIENCES RESEARCH COUNCIL
ENGINEERING AND PHYSICAL SCIENCES RESEARCH COUNCIL EPSRCGB,ENGINEERING PHYSICAL SCIENCES RESEARCH COUNCIL
EPSRC,ENGINEERING PHYSICAL SCIENCES RESEARCH COUNCIL
EPSRC UK,ENGINEERING PHYSICAL SCIENCES RESEARCH COUNCIL UNITED KINGDOM
EPSRC ENGINEERING PHYSICAL SCIENCES RESEARCH COUNCIL,ENGINEERING PHYSICAL SCIENCES RESEARCH COUNCIL
ERC,EUROPEAN RESEARCH COUNCIL
ERC ADVANCED GRANT PROGRAM,EUROPEAN RESEARCH COUNCIL
EU,EUROPEAN UNION
EU GRAPHENE FLAGSHIP,EUROPEAN UNION
EU GRAPHENE FLAGSHIP PROJECT,EUROPEAN UNION
EUROPEAN COMMUNITIES,EUROPEAN COMMUNITY
EUROPEAN COMMUNITY,EUROPEAN COMMUNITY
EUROPEAN COMMUNITYS SEVENTH FRAMEWORK PROGRAMME FP7 CALIPSO,EUROPEAN COMMUNITY
EUROPEAN FUND FOR REGIONAL DEVELOPMENT,EUROPEAN REGIONAL DEVELOPMENT FUND
EUROPEAN REGIONAL DEVELOPMENT FUND ERDF,EUROPEAN REGIONAL DEVELOPMENT FUND
ERDF,EUROPEAN REGIONAL DEVELOPMENT FUND
EUROPEAN RESEARCH COUNCIL ADVANCED GRANT DYNAMO ERCADG,EUROPEAN RESEARCH COUNCIL
EUROPEAN RESEARCH COUNCIL ERC,EUROPEAN RESEARCH COUNCIL
EUROPEAN RESEARCH COUNCIL ERC STARTING GRANT VDWCMAT,EUROPEAN RESEARCH COUNCIL
EUROPEAN RESEARCH COUNCIL ERC UNDER THE EUROPEAN UNION,EUROPEAN RESEARCH COUNCIL
EUROPEAN RESEARCH COUNCIL EU FP7 ERC,EUROPEAN RESEARCH COUNCIL
EUROPEAN RESEARCH COUNCIL UNDER EUROPEAN COMMUNITY,EUROPEAN RESEARCH COUNCIL
EUROPEAN RESEARCH COUNCIL UNDER THE EUROPEAN UNIONS HORIZON 2020 RESEARCH AND INNOVATION PROGRAMME,EUROPEAN RESEARCH COUNCIL
EUROPEAN RESEARCH COUNCIL UNDER THE EUROPEAN UNIONS SEVENTH FRAMEWORK PROGRAMME,EUROPEAN RESEARCH COUNCIL
EUROPEAN UNION EUROPEAN REGIONAL DEVELOPMENT FUND,EUROPEAN REGIONAL DEVELOPMENT FUND
EUROPEAN UNION EU,EUROPEAN UNION
EUROPEAN UNION SEVENTH FRAMEWORK PROGRAMME,EUROPEAN RESEARCH COUNCIL
EUROPEAN UNION SEVENTH FRAMEWORK PROGRAMME FP7 UNDER THE ERC,EUROPEAN RESEARCH COUNCIL
EUROPEAN UNIONS HORIZON 2020 RESEARCH AND INNOVATION PROGRAMME,EUROPEAN UNION
EUROPEAN UNIONS HORIZON 2020 RESEARCH AND INNOVATION PROGRAMME UNDER THE MARIE SKLODOWSKACURIE GRANT,EUROPEAN UNION
EUROPEAN UNIONS HORIZON RESEARCH AND INNOVATION PROGRAM,EUROPEAN UNION
EXTREME SCIENCE AND ENGINEERING DISCOVERY ENVIRONMENT XSEDE,US NATIONAL SCIENCE FOUNDATION
EXTREME SCIENCE AND ENGINEERING DISCOVERY ENVIRONMENT XSEDE NATIONAL SCIENCE FOUNDATION,US NATIONAL SCIENCE FOUNDATION
EXTREME SCIENCE AND ENGINEERING DISCOVERY ENVIRONMENT XSEDE BY NSF,US NATIONAL SCIENCE FOUNDATION
FAPEMIG,BRAZILIAN AGENCY FAPEMIG
FAPESP SAO PAULO RESEARCH FOUNDATION,SAO PAULO RESEARCH FOUNDATION
FCT,PORTUGUESE FUNDACAO PARA A CIENCIA E A TECNOLOGIA
FEDERAL MINISTRY OF EDUCATION AND RESEARCH GERMANY BMBF,BMBF
FEDERAL MINISTRY OF EDUCATION  RESEARCH BMBF,BMBF
FLEMISH SCIENCE FOUNDATION FWO,FLEMISH SCIENCE FOUNDATION FWO
FLEMISH SCIENCE FOUNDATION FWOVL,FLEMISH SCIENCE FOUNDATION FWO
FLUID INTERFACE REACTIONS STRUCTURES AND TRANSPORT FIRST CENTER AN ENERGY FRONTIER RESEARCH CENTER US DEPARTMENT OF ENERGY OFFICE OF SCIENCE OFFICE OF BASIC ENERGY SCIENCES,US DEPARTMENT OF ENERGY
FONDS DE LA RECHERCHE SCIENTIFIQUE DE BELGIQUE FRSFNRS,FONDS DE LA RECHERCHE SCIENTIFIQUE DE BELGIQUE
FONDS DE LA RECHERCHE SCIENTIFIQUE DE BELGIQUE FRS FNRS,FONDS DE LA RECHERCHE SCIENTIFIQUE DE BELGIQUE
FONDS DER CHEMISCHEN INDUSTRIE,FONDS DER CHEMISCHEN INDUSTRIE GERMANY
FONDS DER CHEMISCHEN INDUSTRIE GERMANY,FONDS DER CHEMISCHEN INDUSTRIE GERMANY
FOREIGN TALENTS INTRODUCTION AND ACADEMIC EXCHANGE PROGRAM OF CHINA,THOUSAND TALENTS PLAN OF CHINA
FOUNDATION FOR DEVELOPMENT OF SCIENCE AND TECHNOLOGY OF CHINA ACADEMY OF ENGINEERING PHYSICS,CHINA ACADEMY OF ENGINEERING PHYSICS
FOUNDATION FOR POLISH SCIENCE FNP,FOUNDATION FOR POLISH SCIENCE
FNP,FOUNDATION FOR POLISH SCIENCE
FRENCH AGENCE NATIONALE DE LA RECHERCHE ANR,FRENCH AGENCE NATIONALE DE LA RECHERCHE
FRENCH ANR,FRENCH AGENCE NATIONALE DE LA RECHERCHE
FRENCH NATIONAL RESEARCH AGENCY,FRENCH AGENCE NATIONALE DE LA RECHERCHE
FRSFNRS,FONDS DE LA RECHERCHE SCIENTIFIQUE DE BELGIQUE
FRS FNRS,FONDS DE LA RECHERCHE SCIENTIFIQUE DE BELGIQUE
FUND FOR SCIENTIFIC RESEARCH FLANDERS FWO,FLEMISH SCIENCE FOUNDATION FWO
FUND OF THE STATE KEY LABORATORY OF SOLIDIFICATION PROCESSING IN NWPU,STATE KEY LABORATORY OF SOLIDIFICATION PROCESSING IN NWPU
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,BRAZILIAN AGENCY FAPEMIG
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS FAPEMIG,BRAZILIAN AGENCY FAPEMIG
MINAS GERAIS STATE RESEARCH FOUNDATION FAPEMIG,BRAZILIAN AGENCY FAPEMIG
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,SAO PAULO RESEARCH FOUNDATION
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP FROM BRAZIL FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO FAPESP,SAO PAULO RESEARCH FOUNDATION
FUNDACAO PARA A CIENCIA E A TECNOLOGIA PORTUGAL,PORTUGUESE FUNDACAO PARA A CIENCIA E A TECNOLOGIA
FUNDAMENTAL RESEARCH FUNDS FOR CENTRAL UNIVERSITIES,FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UNIVERSITIES
FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UNIVERSITIES,FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UNIVERSITIES
FWOVLAANDEREN,FLEMISH SCIENCE FOUNDATION FWO
GENCI,GENCI
GENCICCRTCINES,GENCI
GENCICINES,GENCI
GENCIIDRIS,GENCI
GENCI CCRT CINES,GENCI
GENCI CCRTCINES,GENCI
GENCI CINES,GENCI
GENCI IDRIS,GENCI
GENERALITAT DE CATALUNYA XRQTC,GENERALITAT DE CATALUNYA
GENERALITAT VALENCIANA PROMETEO PROGRAM OF EXCELLENCE,GENERALITAT VALENCIANA
GERMAN ACADEMIC EXCHANGE SERVICE DAAD,DAAD
GERMAN FEDERAL MINISTRY FOR EDUCATION AND RESEARCH,BMBF
GERMAN FEDERAL MINISTRY FOR EDUCATION AND RESEARCH BMBF,BMBF
GERMAN FEDERAL MINISTRY OF EDUCATION AND RESEARCH BUNDESMINISTERIUM FUR BILDUNG UND FORSCHUNG BMBF,BMBF
GERMAN RESEARCH FOUNDATION,RESEARCH FOUNDATION DFG
GERMAN RESEARCH FOUNDATION DFG,RESEARCH FOUNDATION DFG
GLOBAL FRONTIER PROGRAM THROUGH THE GLOBAL FRONTIER HYBRID INTERFACE MATERIALS GFHIM OF THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF,THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF
GOVERNMENT OF RUSSIAN FEDERATION ACT 211,GOVERNMENT OF THE RUSSIAN FEDERATION
GOVERNMENT OF RUSSIAN FEDERATION,GOVERNMENT OF THE RUSSIAN FEDERATION
GRAPHENE FLAGSHIP,EUROPEAN UNION
HUNAN PROVINCIAL EDUCATION DEPARTMENT,HUNAN PROVINCE CHINA
HUNAN PROVINCIAL INNOVATION FOUNDATION FOR POSTGRADUATE,HUNAN PROVINCE CHINA
HUNAN PROVINCIAL NATURAL SCIENCE FOUNDATION OF CHINA NATURAL SCIENCE FOUNDATION OF HUNAN PROVINCE,HUNAN PROVINCE CHINA
HUNDRED TALENT PROGRAM OF CHINESE ACADEMY OF SCIENCES,CHINESE ACADEMY OF SCIENCES
ICREA ACADEMIA AWARD FOR EXCELLENCE IN RESEARCH,ICREA
ICREA ACADEMIA AWARD FOR EXCELLENCE IN UNIVERSITY RESEARCH,ICREA
IDRIS,GENCI
INNOVATION SCIENTISTS AND TECHNICIANS TROOP CONSTRUCTION PROJECTS OF HENAN PROVINCE CHINA,HENAN PROVINCE CHINA
INSTITUTE OF ORGANIC CHEMISTRY AND BIOCHEMISTRY OF THE CZECH ACADEMY OF SCIENCES OF THE CZECH REPUBLIC,CZECH ACADEMY OF SCIENCES
INTERNATIONAL INSTITUTE FOR NANOTECHNOLOGY IIN,INTERNATIONAL INSTITUTE FOR NANOTECHNOLOGY
IIN,INTERNATIONAL INSTITUTE FOR NANOTECHNOLOGY
INTERNATIONAL SCIENCE TECHNOLOGY COOPERATION PROGRAMME OF CHINA,INTERNATIONAL SCIENCE AND TECHNOLOGY COOPERATION PROGRAM OF CHINA
ISRAEL SCIENCE FOUNDATION ISF,INTERNATIONAL SCIENCE AND TECHNOLOGY COOPERATION PROGRAM OF CHINA
ISF,INTERNATIONAL SCIENCE AND TECHNOLOGY COOPERATION PROGRAM OF CHINA
ITALIAN MIUR THROUGH THE FIRB PROJECT,ITALIAN MIUR
JAPAN SCIENCE AND TECHNOLOGY AGENCY JST,JAPAN SCIENCE AND TECHNOLOGY AGENCY
JST,JAPAN SCIENCE AND TECHNOLOGY AGENCY
JAPAN SCIENCE AND TECHNOLOGY AGENCY JST PRECURSORY RESEARCH FOR EMBRYONIC SCIENCE AND TECHNOLOGY PRESTO PROGRAM,JAPAN SCIENCE AND TECHNOLOGY AGENCY
JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE JSPS,JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE
JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE JSPS KAKENHI,JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE
MINISTRY OF EDUCATION CULTURE SPORTS SCIENCE AND TECHNOLOGY JAPAN MEXT,MEXT JAPAN
JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE,JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE
JSPS,JAPAN SOCIETY FOR THE PROMOTION OF SCIENCE
